Name;Index
2020M07;99,9
2020M08;99,9
2020M09;99,6
2020M10;100,3
2020M11;99,2
2020M12;99,7
2021M01;99,6
2021M02;100,3
2021M03;100,3
2021M04;101,0
2021M05;100,9
2021M06;100,6
2021M07;100,4
2021M08;100,1
2021M09;99,9
2021M10;100,9
2021M11;100,7
2021M12;100,0
2022M01;100,4
2022M02;101,4
2022M03;98,9
2022M04;102,6
2022M05;102,0
2022M06;102,7
2022M07;101,0
2022M08;100,0
2022M09;99,1
2022M10;100,8
2022M11;100,9
2022M12;100,2
2023M01;100,2
2023M02;100,7
2023M03;100,0
2023M04;101,5
2023M05;101,1
2023M06;101,4
2023M07;100,2
2023M08;100,1
2023M09;100,3
2023M10;100,2
2023M11;99,0
2023M12;99,5
2024M01;99,4
2024M02;100,8
2024M03;100,2
2024M04;101,0
2024M05;100,5
2024M06;100,4
2024M07;99,9
2024M08;99,8
2024M09;100,0
2024M10;99,5
2024M11;100,7
2024M12;99,7
2025M01;99,6
2025M02;100,3
2025M03;100,6
2025M04;101,3
2025M05;100,0
2025M06;100,8
2025M07;100,5
2025M08;100,0
2025M09;99,6
2025M10;100,0
2025M11;100,0
2025M12;100,0
2026M01;99,5
2026M02;100,6
2026M03;100,2
2026M04;101,9
2026M05;100,5
2026M06;100,8
2026M07;99,9
